,pattern,count
0,\b(agresywnego krwiopijcy|agresywnego krwiopijcę|agresywnemu krwiopijcy|agresywni krwiopijcy|agresywny krwiopijca|agresywny krwiopijco|agresywnych krwiopijcach|agresywnych krwiopijców|agresywnym krwiopijcom|agresywnym krwiopijcy|agresywnym krwiopijcą|agresywnymi krwiopijcami)\b,1
1,\b(aligator|aligatora|aligatorach|aligatorami|aligatorem|aligatorom|aligatorowi|aligatory|aligatorze|aligatorów)\b,14
2,\b(arcykapłan|arcykapłana|arcykapłanach|arcykapłanami|arcykapłanem|arcykapłani|arcykapłanie|arcykapłanom|arcykapłanowi|arcykapłanów)\b,2
3,\b(bagienne golemy|bagiennego golema|bagiennemu golemowi|bagienny golem|bagienny golemie|bagiennych golemach|bagiennych golemów|bagiennym golemem|bagiennym golemie|bagiennym golemom|bagiennymi golemami)\b,0
4,\b(bagienne szczury|bagiennego szczura|bagiennemu szczurowi|bagienny szczur|bagienny szczurze|bagiennych szczurach|bagiennych szczurów|bagiennym szczurem|bagiennym szczurom|bagiennym szczurze|bagiennymi szczurami)\b,0
5,\b(bagienne trutnie|bagiennego trutnia|bagiennemu trutniowi|bagienny truteń|bagienny trutniu|bagiennych trutni|bagiennych trutniach|bagiennym trutniem|bagiennym trutniom|bagiennym trutniu|bagiennymi trutniami)\b,0
6,\b(trutnie|trutnia|trutniowi|truteń|trutniu|trutni|trutniach|trutniem|trutniom|trutniu|trutniami)\b,0
7,\b(bagienne zombie|bagiennego zombie|bagiennemu zombie|bagienny zombie|bagiennych zombie|bagiennym zombie|bagiennymi zombie)\b,0
8,\b(baran|barana|baranach|baranami|baranem|baranie|baranom|baranowi|barany|baranów)\b,4
9,\b(brzytw|brzytwa|brzytwach|brzytwami|brzytwie|brzytwo|brzytwom|brzytwy|brzytwą|brzytwę)\b,9
10,\b(brzytwiak|brzytwiaka|brzytwiakach|brzytwiakami|brzytwiaki|brzytwiakiem|brzytwiakom|brzytwiakowi|brzytwiaku|brzytwiaków)\b,0
11,\b(błędne ogniki|błędnego ognika|błędnemu ognikowi|błędny ognik|błędny ogniku|błędnych ognikach|błędnych ogników|błędnym ognikiem|błędnym ognikom|błędnym ogniku|błędnymi ognikami)\b,1
12,\b(chrząszcz|chrząszcza|chrząszczach|chrząszczami|chrząszcze|chrząszczem|chrząszczom|chrząszczowi|chrząszczu|chrząszczy)\b,31
13,\b(cieniostwora|cieniostworach|cieniostworami|cieniostworem|cieniostworom|cieniostworowi|cieniostwory|cieniostworze|cieniostworów|cieniostwór)\b,71
14,\b(czarne gobliny|czarnego goblina|czarnemu goblinowi|czarny goblin|czarny goblinie|czarnych goblinach|czarnych goblinów|czarnym goblinem|czarnym goblinie|czarnym goblinom|czarnymi goblinami)\b,5
15,\b(czarne trolle|czarnego trolla|czarnemu trollowi|czarny troll|czarny trollu|czarnych trollach|czarnych trolli|czarnym trollem|czarnym trollom|czarnym trollu|czarnymi trollami)\b,17
16,\b(czarne wilki|czarnego wilka|czarnemu wilkowi|czarny wilk|czarny wilku|czarnych wilkach|czarnych wilków|czarnym wilkiem|czarnym wilkom|czarnym wilku|czarnymi wilkami)\b,2
17,\b(demon|demona|demonach|demonami|demonem|demonie|demonom|demonowi|demony|demonów)\b,51
18,\b(demon ognia|demona ognia|demonach ognia|demonami ognia|demonem ognia|demonie ognia|demonom ognia|demonowi ognia|demony ognia|demonów ognia)\b,0
19,\b(dzik|dzika|dzikach|dzikami|dziki|dzikiem|dzikom|dzikowi|dziku|dzików)\b,29
20,\b(elitarni orkowie|elitarnych orkach|elitarnych orków|elitarnym orkom|elitarnymi orkami)\b,3
21,\b(golem mostowy|golema mostowego|golemach mostowych|golemami mostowymi|golemem mostowym|golemie mostowy|golemie mostowym|golemom mostowym|golemowi mostowemu|golemy mostowe|golemów mostowych)\b,0
22,\b(gwardzista ork|gwardzistach orkach|gwardzistami orkami|gwardzisto orku|gwardzistom orków|gwardzisty orka|gwardzistów orków|gwardzistą orkiem|gwardzistę orka|gwardziści orków|gwardziście orkowi|gwardziście orku)\b,0
23,\b(jaszczur|jaszczura|jaszczurach|jaszczurami|jaszczurem|jaszczurom|jaszczurowi|jaszczury|jaszczurze|jaszczurów)\b,37
24,\b(kamiennego strażnika|kamiennemu strażnikowi|kamienni strażnicy|kamienny strażnik|kamienny strażniku|kamiennych strażnikach|kamiennych strażników|kamiennym strażnikiem|kamiennym strażnikom|kamiennym strażniku|kamiennymi strażnikami)\b,1
