wordform,train_count,test_count
chrząszcz,10,0
chrząszcza,12,1
chrząszczami,1,0
chrząszcze,1,1
chrząszczem,2,1
chrząszczy,2,0
cieniostwora,28,1
cieniostworami,2,0
cieniostworem,6,0
cieniostworom,2,0
cieniostwory,4,1
cieniostworze,2,0
cieniostworów,1,0
cieniostwór,23,1
demon,15,1
demona,9,1
demonem,6,0
demonom,1,0
demony,7,0
demonów,9,2
goblin,22,3
goblina,20,2
goblinach,2,0
goblinami,11,2
goblinem,1,0
goblinie,2,0
goblinom,6,0
goblinowi,1,0
gobliny,30,2
goblinów,17,2
golem,12,3
golema,17,4
golemami,2,1
golemem,1,0
golemom,1,0
golemy,4,2
golemów,3,0
jaszczur,4,1
jaszczura,5,2
jaszczurach,1,0
jaszczury,15,0
jaszczurów,7,2
kretoszczur,6,1
kretoszczura,15,0
kretoszczurom,1,0
kretoszczury,5,0
kretoszczurów,6,0
krwiopijca,6,0
krwiopijcach,1,0
krwiopijcy,8,1
krwiopijców,5,1
krwiopijcę,3,0
pełzacz,7,0
pełzacza,25,8
pełzaczach,1,0
pełzaczami,4,0
pełzacze,13,0
pełzaczem,1,0
pełzaczy,34,2
szczur,10,4
szczura,9,0
szczurami,4,0
szczurom,1,0
szczurowi,1,0
szczury,13,0
szczurze,1,0
szczurów,4,0
szkielecie,7,0
szkielet,23,0
szkieleta,8,1
szkieletami,3,0
szkieletem,5,2
szkieletom,3,0
szkieletu,3,1
szkielety,21,2
szkieletów,16,1
topielca,10,0
topielce,5,0
topielców,4,0
topielec,7,0
troll,44,1
trolla,31,11
trollami,1,1
trolle,10,0
trollem,6,0
trolli,13,1
trollów,1,0
wilk,35,5
wilka,41,3
wilkami,6,0
wilki,18,2
wilkiem,1,0
wilkowi,1,0
wilku,27,3
wilków,12,3
zombie,37,6
zębacz,22,5
zębacza,12,2
zębaczami,0,1
zębacze,15,0
zębaczem,3,0
zębaczom,1,1
zębaczu,1,0
zębaczy,5,0
ścierwojad,33,3
ścierwojada,15,4
ścierwojadami,4,0
ścierwojadem,3,0
ścierwojadom,1,0
ścierwojady,11,4
ścierwojadów,18,2
